Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19362642266.6484,20191760000.0587,19484384936.6312,19101353832.7371,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11861200797.4707,13019693450.8816,15147020535.3869,15278077446.8643,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,160033844070.572,167389364980.671,173757952824.25,169988236398.126,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,652000000,602000000,636000000,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2896679211.86628,3000180750.11297,3218316013.22626,3154057987.23833,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,101123851090.455,122123822333.591,101353230784.594,94635415869.9851,..
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1436585185.18519,1467977777.77778,1610574074.07407,1727759259.25926,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,557531376217.967,642695864756.35,519871519807.795,449663446954.073,..
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10546135160.031,11527458565.7334,12457941907.0333,13672802157.8324,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2965921787.7095,3056424581.00559,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1208846993739.99,1330135756844.41,1433904348500.12,1392680589329.14,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,395227684138.862,418316161095.683,455508255028.219,446314739528.47,..
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,37867518957.1975,40865558912.3867,47112941176.4706,48047647058.8235,..
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11938400000,12150400000,12424500000,12827000000,..
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,32250132978.7234,35423643617.0213,37652500000,38574069148.9362,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,221415162445.648,249711052937.012,274039092455.306,302571254131.135,..
