Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,547.228110150363,556.30200240406,524.162880925404,502.115486913067,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4124.05572595352,4531.02080555986,5284.38018438156,5352.85741103671,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3946.44397689835,4044.27660039876,4114.71506136896,3948.34327892571,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11696.9555623329,10823.4448040273,11466.6907058505,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3506.07288506966,4095.81294155857,3289.64666408633,2973.59115979868,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,15197.6174551735,15383.4151884998,16726.9808079479,17790.309306815,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12790.2424732447,14591.8633810541,11683.9496216363,10006.1489736082,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3591.82927553023,3914.5012684128,4220.49027671249,4622.73349328671,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,28281.35048163,29007.6930034887,..,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,49971.131456129,54066.4712686117,57395.9194663167,54907.1019101424,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,45237.8050921543,47549.0790402349,51525.0464342791,50277.2750874213,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3880.73873089556,4147.08971569171,4739.84171028393,4793.58701966989,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,31588.8349989813,31827.2426989661,32217.871590084,32933.4860147581,..
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22619.1166718849,23709.430467983,23991.05667694,23503.977126673,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1401.62046644588,1563.91385693051,1698.35039428122,1855.73982408046,..
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,16900.166552366,17391.4258663397,17745.1934649963,18148.2449264001,..
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5022.62664330491,5761.74712023007,6330.0752464187,6663.29529282582,..
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,41998.335750239,44288.5080403124,47491.3232594693,46116.69923368,..
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4818.40390879479,4887.5772083381,4884.7341615523,4815.1637107951,..
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1087.28783152256,1136.59284704681,1240.82946441954,1219.43267185875,..
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2930.56298891838,3286.57470287488,3243.23112593497,..,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3076.6589493424,3351.12403975607,3548.59015254032,3552.0687621416,..
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4994.68314045091,5394.59122017677,6072.18099160639,6073.26520283208,..
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7243.85299726842,7893.21010771116,8279.60136473398,7961.33814014048,..
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8710.09668954121,9925.38623770041,9001.23424863499,8717.18627810819,..
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,27157.8234104784,28572.1467776509,31628.3287914349,31086.7510792939,..
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7545.79033249799,8331.0580246026,9423.5586115666,9737.60135083347,..
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,687.670174974205,738.274158940081,820.160793810547,774.8396902346,..
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,282.193130404814,292.997630684415,271.752044376648,261.247472515742,..
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3130.96338461412,3292.6457550859,3617.32748829173,3603.7817936777,..
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1269.59125737542,1385.2599796333,1512.12670972847,1643.12138876475,..
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1364.33011041997,1425.10781805334,1534.49127445052,1497.90917560296,..
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,42322.4847803038,45148.5527061655,46313.1713712961,46194.7252255167,..
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,78296.0999272332,81124.5134794821,85477.2870130687,..,..
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,402.191290596004,450.900244979058,475.953609871945,467.907440636335,..
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,693.449386475774,665.94835269506,726.149881109447,709.540310138533,..
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
