Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,19542192284.4022,20440077447.7005,19675118802.7382,19402296819.4301,..
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,12054338166.2203,13053733602.8547,15129831617.421,15121602482.6401,..
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,158460789716.3,164797434361.511,169357952824.25,165788236398.126,..
American Samoa,ASM,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,95850167792.3992,114618206700.981,93523683283.3905,87198922324.8465,..
Antigua and Barbuda,ATG,GNI (current US$),NY.GNP.MKTP.CD,1328013000,1400094962.96296,1527958592.59259,1628059115.20154,..
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,545339165474.109,626314971713.549,501244284911.906,432302320236.189,..
Armenia,ARM,GNI (current US$),NY.GNP.MKTP.CD,10791285342.4912,11934826619.5224,12619103076.2882,13900785318.4474,..
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,2830726256.98324,2885753966.48045,..,..,..
Australia,AUS,GNI (current US$),NY.GNP.MKTP.CD,1180243849177.46,1293973150312.99,1389127199441.9,1346628522385.92,..
Austria,AUT,GNI (current US$),NY.GNP.MKTP.CD,395197917596.426,414599430947.412,454258049345.96,445912333221.176,..
Azerbaijan,AZE,GNI (current US$),NY.GNP.MKTP.CD,35395431534.7496,39106056123.6347,44653352058.8235,45986633058.8235,..
"Bahamas, The",BHS,GNI (current US$),NY.GNP.MKTP.CD,11498482400,11789714600,11742247200,12307737755.0877,..
Bahrain,BHR,GNI (current US$),NY.GNP.MKTP.CD,30454654255.3191,33433989361.7021,35576436170.2128,36313430851.0638,..
Bangladesh,BGD,GNI (current US$),NY.GNP.MKTP.CD,234168452310.22,260441176346.573,286536059742.333,316907374622.297,..
Barbados,BRB,GNI (current US$),NY.GNP.MKTP.CD,4608564150,4754253200,4856103100,5030074650,..
Belarus,BLR,GNI (current US$),NY.GNP.MKTP.CD,45508099165.6614,52644634114.7855,57886015606.596,61171322162.7307,..
Belgium,BEL,GNI (current US$),NY.GNP.MKTP.CD,480571701881.761,509690005072.472,546514451842.745,531413654224.313,..
Belize,BLZ,GNI (current US$),NY.GNP.MKTP.CD,1666548950,1681173400,1690260100,1707061950,..
Benin,BEN,GNI (current US$),NY.GNP.MKTP.CD,11718307251.9058,12561418821.1382,14105967001.3224,14247234408.6248,..
Bermuda,BMU,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Bhutan,BTN,GNI (current US$),NY.GNP.MKTP.CD,1973485495.26529,2237541686.62932,2226485622.79297,..,..
Bolivia,BOL,GNI (current US$),NY.GNP.MKTP.CD,33320230244.2619,36448198128.4043,39315659922.3515,40100652560.1596,..
Bosnia and Herzegovina,BIH,GNI (current US$),NY.GNP.MKTP.CD,16935914258.2433,18014611616.9183,20125242607.1213,20015949859.7676,..
Botswana,BWA,GNI (current US$),NY.GNP.MKTP.CD,14376171705.8672,16122423768.2896,17247914519.6078,16960832436.1513,..
Brazil,BRA,GNI (current US$),NY.GNP.MKTP.CD,1757603662733.08,2024253642507.99,1832170775165.58,1790968502573.2,..
British Virgin Islands,VGB,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Brunei Darussalam,BRN,GNI (current US$),NY.GNP.MKTP.CD,12235956707.4495,12848520530.0891,13651197271.8511,13830513690.5489,..
Bulgaria,BGR,GNI (current US$),NY.GNP.MKTP.CD,52132139705.8824,57541632958.8015,66815490645.7453,66046102747.5673,..
Burkina Faso,BFA,GNI (current US$),NY.GNP.MKTP.CD,11997489882.1408,13640284571.5894,15718812530.4597,15326412066.6791,..
Burundi,BDI,GNI (current US$),NY.GNP.MKTP.CD,2958794875.00111,3167492069.36737,3043033462.71202,3019539459.42988,..
Cabo Verde,CPV,GNI (current US$),NY.GNP.MKTP.CD,1603727125.54181,1708731942.22494,1920635859.88755,1939454972.42505,..
Cambodia,KHM,GNI (current US$),NY.GNP.MKTP.CD,18788293249.7557,20800209502.6391,22915193840.1748,24751806260.7299,..
Cameroon,CMR,GNI (current US$),NY.GNP.MKTP.CD,32085147356.0155,34347942596.7185,37874934849.711,38004379504.7371,..
Canada,CAN,GNI (current US$),NY.GNP.MKTP.CD,1509573373337.67,1630711605822.9,1694106427700.7,1718553969420.26,..
Cayman Islands,CYM,GNI (current US$),NY.GNP.MKTP.CD,2940243249.72999,3084081363.25453,..,..,..
Central African Republic,CAF,GNI (current US$),NY.GNP.MKTP.CD,1847781813.23295,2177935775.13185,2386745257.73409,2386023521.66114,..
Chad,TCD,GNI (current US$),NY.GNP.MKTP.CD,9911697594.4878,9869508954.25817,11075017680.0106,11140998595.3498,..
Channel Islands,CHI,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Chile,CHL,GNI (current US$),NY.GNP.MKTP.CD,242625276470.643,265587352672.125,285431771514.039,270972766316.849,..
China,CHN,GNI (current US$),NY.GNP.MKTP.CD,11188325682895.6,12300722021660.7,13843520253929.9,14308059753343.8,..
Colombia,COL,GNI (current US$),NY.GNP.MKTP.CD,279762593446.953,306184599946.858,325127282623.984,313494118805.246,..
Comoros,COM,GNI (current US$),NY.GNP.MKTP.CD,1018190400.7207,1083389247.02739,1185350497.66578,1190473102.29232,..
"Congo, Dem. Rep.",COD,GNI (current US$),NY.GNP.MKTP.CD,36345365361.454,36945659017.8937,45549717037.8734,45878668084.3285,..
"Congo, Rep.",COG,GNI (current US$),NY.GNP.MKTP.CD,8383936972.58345,8190929339.14308,10317798051.8376,9639524381.68937,..
Costa Rica,CRI,GNI (current US$),NY.GNP.MKTP.CD,54676168525.5372,55569873365.0378,57266410097.535,58185840802.8952,..
Cote d'Ivoire,CIV,GNI (current US$),NY.GNP.MKTP.CD,46887633191.4514,50051967022.8553,55809155337.1927,56975603680.0811,..
Croatia,HRV,GNI (current US$),NY.GNP.MKTP.CD,50054363003.2324,54505858676.2885,60093816674.6297,59493019146.8479,..
Cuba,CUB,GNI (current US$),NY.GNP.MKTP.CD,90086000000,..,..,..,..
Curacao,CUW,GNI (current US$),NY.GNP.MKTP.CD,3105924804.46927,3143314022.34637,3163299106.14525,..,..
Cyprus,CYP,GNI (current US$),NY.GNP.MKTP.CD,20055640912.1098,21948565295.9783,24082921587.1516,23719355199.8209,..
Czech Republic,CZE,GNI (current US$),NY.GNP.MKTP.CD,182443584436.662,202641788703.675,231567017821.053,235411658254.205,..
Denmark,DNK,GNI (current US$),NY.GNP.MKTP.CD,320812594566.814,336415998769.023,364912764784.076,357272070315.537,..
Djibouti,DJI,GNI (current US$),NY.GNP.MKTP.CD,2745407258.60905,2874159682.64686,3113723864.50596,3451455289.219,..
Dominica,DMA,GNI (current US$),NY.GNP.MKTP.CD,561033481.481481,508221814.814815,552210814.814815,586830027.899804,..
