Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Albania,ALB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4755.02809217762,..,..,..,..
Algeria,DZA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4771.51395547634,4696.37516341586,..,..,..
American Samoa,ASM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Andorra,AND,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Angola,AGO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3371.00238018326,3217.45762154241,2982.52033236599,..,..
Antigua and Barbuda,ATG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Argentina,ARG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10015.9209270776,10133.1544189931,9672.22357934133,9351.10346422882,..
Armenia,ARM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4007.05994299523,4344.01719021101,4465.87943476496,4811.84057749837,..
Aruba,ABW,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Australia,AUS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,54461.441088243,54585.6934102,55099.6503911191,55169.7176017414,..
Austria,AUT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,48254.9712594208,48676.9045303364,49919.1205935696,..,..
Azerbaijan,AZE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
"Bahamas, The",BHS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,26312.8096570851,26259.0783762329,25661.8039656511,..,..
Bahrain,BHR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,21201.8204704919,20960.4371000943,20356.3712625623,..,..
Bangladesh,BGD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1122.52451762162,1175.85230332776,1258.0882113236,1348.25610006744,..
Barbados,BRB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Belarus,BLR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,5917.26581604198,6119.45062465082,6329.01262371608,6454.12687397538,..
Belgium,BEL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,46381.5934031077,47141.7155512918,47417.3542756285,..,..
Belize,BLZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3927.77670286002,3831.45940540918,3799.79552596931,3757.46850638246,..
Benin,BEN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1124.80770003159,1153.71739686501,1198.86432785702,1246.96279049323,..
Bermuda,BMU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Bhutan,BTN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2718.45781664501,2807.87477261855,2850.02534350454,..,..
Bolivia,BOL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2390.29843494481,2428.57096913471,2505.48085193904,2537.82470178789,..
Bosnia and Herzegovina,BIH,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,5603.10576898773,5751.74544618675,6019.42547456108,6226.20506627335,..
Botswana,BWA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7080.01380340986,7242.32345501008,7391.55469564292,7448.8785186452,..
Brazil,BRA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10732.3157205454,10815.3311731168,10764.8497826123,10826.4316542889,..
British Virgin Islands,VGB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Brunei Darussalam,BRN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,33747.0703854219,33526.8831452217,31636.4545880261,33187.6842965716,..
Bulgaria,BGR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7754.80322615183,8143.32466137909,8749.80576757215,..,..
Burkina Faso,BFA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Burundi,BDI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,219.919848433812,213.797273946736,211.314957280667,208.678619628378,..
Cabo Verde,CPV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3405.77804923798,3494.33612896868,3651.81167621587,3824.01697266132,..
Cambodia,KHM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1010.28011071886,1061.28972246036,1116.37040270756,1223.08991610399,..
Cameroon,CMR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1443.91863885724,1453.39515187759,1469.66225403805,1492.37126173235,..
Canada,CAN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,49720.2458507217,50712.4628325163,50947.5612296152,51195.8406965512,..
Cayman Islands,CYM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Central African Republic,CAF,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,363.712706182519,386.360049819199,..,..,..
Chad,TCD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,856.064335875337,809.486254788797,802.699928094083,803.859943309665,..
Channel Islands,CHI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Chile,CHL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14356.0167352969,14157.9738624974,14492.9181155645,14517.4999957681,..
China,CHN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6880.31505972425,7340.964522697,7778.36622941043,..,..
Colombia,COL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7556.29137996502,7486.26313525275,7502.29942319362,7593.74764919491,..
Comoros,COM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1374.27553509561,1395.08303448669,1411.47080412235,..,..
"Congo, Dem. Rep.",COD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,400.527411304999,397.015083397147,407.202105732348,409.605234872924,..
"Congo, Rep.",COG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3529.73386811867,3229.00047691696,3061.2318397728,2973.77013518842,..
Costa Rica,CRI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,9082.06455867081,9274.74302711075,9382.34541250057,9441.04107021545,..
Cote d'Ivoire,CIV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1495.20943284041,1552.98835187085,1612.34706664718,..,..
Croatia,HRV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14261.9968511362,15121.7157266148,15667.6619971029,16198.1330362947,..
Cuba,CUB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6453.72168724364,..,..,..,..
Curacao,CUW,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
