Country_Name,Country_Code,Series_Name,Series_Code,2016,2017,2018,2019,2020
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,124.1425,119.1,107.989166666667,109.850833333333,
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,109.443066666667,110.973016666667,116.593791666667,119.353558333333,
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,163.656434116579,165.915950691498,252.855747731297,364.825804980887,
Antigua and Barbuda,ATG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7,
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,14.7581750873396,16.5627069251411,28.0949916666667,48.1478916666667,
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,480.488150777966,482.716393849129,482.987946590235,480.445128767119,
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,1.79,
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.34521397601947,1.30475807671592,1.33841214646451,1.43850654421382,
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.59572157270424,1.72115480222734,1.70001666666667,1.7,
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.376,0.376,0.376,0.376,
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,78.4680916666667,80.4375416666667,83.4662019166667,84.4535225,
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.98956283333333,1.93234166666667,2.03760833333333,2.09178333333333,
