sub_region,sub_region_code,avg(gpc.2016),avg(gpc.2017),avg(gpc.2018),avg(gpc.2019)
"Southern Asia",034,2731.6447344388534,2922.819656773645,3050.468432290369,2682.6672427752733
"Southern Europe",039,18786.497377958724,19925.081108103015,21681.54984978364,17869.97034911143
"Northern Africa",015,3233.4284142354786,3311.817944342045,3637.6377566077276,3602.544476643607
Polynesia,061,5757.051477735362,5717.975289855874,5928.71464045025,2093.7376675975224
"Sub-Saharan Africa",202,2319.455649834177,2486.055540363585,2615.7963941627895,2540.887998159088
"Latin America and the Caribbean",419,12457.470339450414,12910.670587029192,13233.682358882561,9403.199025897151
"Western Asia",145,16759.009078856,17790.10116573731,19182.526064777543,18519.551094145474
"Australia and New Zealand",053,45038.37242142125,48457.94879665635,50172.92502563395,48495.7276424756
"Western Europe",155,70857.44589488606,72408.59567505002,78329.49340908731,54036.61674279079
"Eastern Europe",151,9630.216770650419,10802.442473683552,12095.034314277367,12356.481721110938
"South-eastern Asia",035,10439.085888486668,11095.90116306948,12082.567822566627,12069.0013961441
"Northern America",021,49477.291939958,51809.2157706043,54541.38266550567,37104.361186111
"Eastern Asia",030,32941.82839036905,35039.12361197678,37060.462663454,36569.667227391685
"Northern Europe",154,43399.083216919295,46709.820281570144,50251.30352961038,48439.53882717044
Melanesia,054,3259.3046990230528,3484.4211181155574,3555.1865151258826,3562.7076973661024
Micronesia,057,12926.47329475104,13872.43720585995,13378.253292232625,1578.8658294100799
"Central Asia",143,3719.074795145051,3942.009956548735,4088.616275033659,2727.2333844558666
