sub_region,sub_region_code,avg(g.2016),avg(g.2017),avg(g.2018),avg(g.2019)
"Southern Asia",034,2008.5927653220303,2074.273621600993,1343.5740667348489,1057.9480903547067
"Southern Europe",039,13494.876793239033,13602.667570421085,13997.097399444963,8632.580812694488
"Northern Africa",015,2080.913146693345,2089.7540853858213,1303.349193520885,834.21978642158
Polynesia,061,0,0,0,0
"Sub-Saharan Africa",202,1912.3298056908668,1892.915247439947,1625.276798330044,1084.612320704235
"Latin America and the Caribbean",419,4400.783568249543,4279.623051047964,4021.2947421023064,2415.1663913754664
"Western Asia",145,16636.146510208986,16586.164115014446,13136.43318481511,6597.444331537682
"Australia and New Zealand",053,45275.19613608985,45397.0468281537,46218.8375303481,27584.8588008707
"Western Europe",155,33984.51080288018,34659.71407647184,35085.37937609994,0
"Eastern Europe",151,10962.644732288405,11412.36153551036,9889.714873105202,4997.896369419153
"Northern America",021,25671.14465985685,26138.69455003475,26526.9838159503,12798.9601741378
"South-eastern Asia",035,10538.04068176447,10605.28214073741,10545.83190653801,10529.965261543286
"Eastern Asia",030,24563.60621090825,25618.281132586384,26264.40408571071,10368.80742703593
"Northern Europe",154,33720.38283984858,34588.23052601609,35376.59276144566,9043.163930170393
Melanesia,054,0,0,0,0
Micronesia,057,2979.040808877384,2895.138511926047,2924.4247297460743,0
"Central Asia",143,2127.449587909242,2146.953461536982,2155.642493580466,2210.90493626841
